@info
{
    "table":{
        "name":"wv_candset",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"wgec_el_2",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"walmart.id",
                "type":"TEXT"
            },
            {
                "name":"vendor.id",
                "type":"TEXT"
            }
        ]
    }
}

@data
pairID:INTEGER,walmart.id:TEXT,vendor.id:TEXT
828,14967509,14967509#eBags
829,15026709,15026709#eBags
830,15040739,15040739#eBags
831,15042324,15042324#eBags
832,14928485,14928485#ivgStores
833,15048334,15048334#eBags
834,15107479,15107479#eBags
835,14931963,14931963#ivgStores
836,15120527,15120527#eBags
837,15152490,15152490#eBags
838,15161676,15161676#eBags
839,15167260,15167260#eBags
840,14972021,14972021#ivgStores
841,15268314,15268314#eBags
842,15268315,15268315#eBags
843,15435529,15435529#eBags
844,15524229,15524229#eBags
845,15525065,15525065#eBags
846,15525109,15525109#eBags
847,15525136,15525136#eBags
848,29832657,29832657#Perf-Moto
849,15570533,15570533#eBags
850,15074478,15074478#ivgStores
851,29832814,29832814#Perf-Moto
852,15637085,15637085#eBags
853,15657735,15657735#eBags
854,15657750,15657750#eBags
